campaignid,sample,reef,mean_relief
2020-10_south-west_stereo-BRUVs,IO74,1,2.8
2020-10_south-west_stereo-BRUVs,IO75,0.933333333,2.541666667
2020-10_south-west_stereo-BRUVs,IO80,0.96875,2.653846154
2020-10_south-west_stereo-BRUVs,IO81,0.75,2
2020-10_south-west_stereo-BRUVs,IO91,0.782608696,2.181818182
2020-10_south-west_stereo-BRUVs,IO92,0.970588235,2.347826087
2020-10_south-west_stereo-BRUVs,IO95,0,0.095238095
2020-10_south-west_stereo-BRUVs,IO96,0,0.16
2020-10_south-west_stereo-BRUVs,IO98,0.032258065,0.45
2020-10_south-west_stereo-BRUVs,IOC04,0.029411765,0.085714286
2020-10_south-west_stereo-BRUVs,IOC05,0.888888889,1.952380952
2020-10_south-west_stereo-BRUVs,IO215,0,0
2020-10_south-west_stereo-BRUVs,IOCP11-1,0.03125,0.086956522
2020-10_south-west_stereo-BRUVs,IOCP11-2,0.942857143,2.515151515
2020-10_south-west_stereo-BRUVs,IOCP2311,0.055555556,0.933333333
2020-10_south-west_stereo-BRUVs,IOREDO344,0.071428571,0.3
